date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915495894',436,356,599,354,69,559)
('2020122915495904',358,224,813,611,9,679)
('2020122915495915',458,265,499,620,338,702)
('2020122915495925',473,307,806,730,141,168)
('2020122915495935',677,256,652,485,442,482)
('2020122915495945',499,275,682,480,399,128)
('2020122915495955',587,292,465,911,733,127)
('2020122915495965',702,251,26,864,925,599)
('2020122915495975',484,208,950,608,627,206)
('2020122915495985',448,285,226,255,926,575)
('2020122915495995',395,294,119,753,540,250)
('2020122915500005',341,383,661,49,940,345)
('2020122915500015',670,373,81,64,119,115)
('2020122915500025',552,396,91,153,51,362)
('2020122915500035',544,300,281,965,108,879)
('2020122915500045',606,271,671,117,677,36)
('2020122915500055',350,302,574,428,207,896)
('2020122915500066',625,392,222,442,755,904)
('2020122915500076',640,380,344,756,26,941)
('2020122915500086',410,339,91,35,791,551)
('2020122915500096',476,371,544,418,156,905)
('2020122915500106',715,209,25,967,421,174)
('2020122915500116',522,223,394,562,96,573)
('2020122915500126',546,267,950,960,118,563)
('2020122915500136',706,375,93,934,279,939)
('2020122915500146',535,235,244,555,930,854)
('2020122915500156',408,392,944,227,605,571)
('2020122915500166',647,355,415,418,706,763)
('2020122915500176',565,330,336,620,354,105)
('2020122915500186',348,372,733,21,31,190)
('2020122915500196',652,399,700,70,295,701)
('2020122915500206',536,350,869,977,139,506)
('2020122915500216',386,312,620,417,894,42)
('2020122915500227',309,241,429,141,230,472)
('2020122915500237',687,306,907,505,661,895)
('2020122915500247',517,324,306,736,1019,668)
('2020122915500257',339,288,356,622,506,902)
('2020122915500267',697,253,640,599,842,652)
('2020122915500277',701,389,393,461,4,554)
('2020122915500287',445,395,546,849,361,924)
('2020122915500297',492,365,884,371,303,916)
('2020122915500307',493,232,981,690,921,117)
('2020122915500317',669,290,919,965,128,665)
('2020122915500327',508,334,310,519,79,940)
('2020122915500337',625,329,467,886,945,565)
('2020122915500347',682,359,527,823,785,195)
('2020122915500357',396,314,497,781,712,910)
('2020122915500367',705,292,436,107,630,237)
('2020122915500377',336,315,265,69,545,874)
('2020122915500388',665,262,76,377,501,433)
('2020122915500398',708,259,191,689,911,263)
('2020122915500408',663,394,539,823,560,191)
('2020122915500418',402,315,402,850,690,724)
('2020122915500428',510,263,875,350,367,645)
('2020122915500438',580,331,302,556,978,133)
('2020122915500448',451,312,1003,428,484,456)
('2020122915500458',323,240,863,691,613,48)
('2020122915500468',450,305,422,18,915,179)
('2020122915500478',692,286,165,895,859,330)
('2020122915500488',686,359,103,346,460,213)
('2020122915500498',437,236,283,462,176,227)
('2020122915500508',349,253,65,258,286,654)
('2020122915500518',649,301,144,326,324,476)
('2020122915500528',484,331,52,153,130,287)
('2020122915500538',676,360,1022,151,207,928)
('2020122915500549',585,281,749,667,652,774)
('2020122915500559',691,337,270,248,506,769)
('2020122915500569',368,309,718,854,774,657)
('2020122915500579',392,327,145,655,856,994)
('2020122915500589',699,356,224,503,664,5)
('2020122915500599',545,294,264,718,74,811)
('2020122915500609',486,398,165,712,780,14)
('2020122915500619',662,306,932,525,229,392)
('2020122915500629',488,356,63,945,514,513)
('2020122915500639',621,320,351,737,42,691)
('2020122915500649',601,372,1009,456,450,38)
('2020122915500659',516,343,198,1013,45,683)
('2020122915500669',406,341,515,572,285,116)
('2020122915500679',419,304,962,114,769,345)
('2020122915500689',403,262,346,12,190,983)
('2020122915500700',535,349,540,779,161,371)
('2020122915500710',507,369,447,728,231,575)
('2020122915500720',539,275,720,476,766,900)
('2020122915500730',389,297,956,643,193,906)
('2020122915500740',581,387,944,646,589,695)
('2020122915500750',388,252,292,91,395,283)
('2020122915500760',494,275,407,762,981,628)
('2020122915500770',588,243,164,615,488,168)
('2020122915500780',405,321,560,883,989,287)
('2020122915500790',588,392,472,603,807,1022)
('2020122915500800',501,378,11,136,336,413)
('2020122915500810',512,253,500,489,474,825)
('2020122915500820',339,372,392,477,922,152)
('2020122915500830',486,307,709,774,170,425)
('2020122915500840',443,260,62,535,181,1022)
('2020122915500850',632,257,255,1010,151,685)
('2020122915500861',604,336,284,212,331,555)
('2020122915500871',500,296,258,473,38,386)
('2020122915500881',651,270,23,496,102,786)
('2020122915500891',357,364,169,124,478,358)
('2020122915500901',670,225,338,115,782,730)
('2020122915500911',721,280,243,852,193,851)
('2020122915500921',393,333,536,184,652,258)
('2020122915500931',337,250,987,670,872,281)
('2020122915500941',538,375,109,1014,227,2)
('2020122915500951',372,350,671,943,448,57)
('2020122915500961',437,243,523,899,304,718)
('2020122915500971',341,291,721,154,397,794)
('2020122915500981',697,226,736,743,335,635)
('2020122915500991',683,345,23,56,597,477)
('2020122915501001',358,295,636,683,936,833)
('2020122915501011',504,244,541,32,710,785)
('2020122915501022',557,240,824,374,77,269)
('2020122915501032',679,301,753,121,590,161)
('2020122915501042',567,218,910,157,403,749)
('2020122915501052',358,268,536,112,686,40)
('2020122915501062',564,342,342,795,183,793)
('2020122915501072',549,381,749,778,64,755)
('2020122915501082',682,227,25,665,711,731)
('2020122915501092',445,358,785,556,13,116)
('2020122915501102',425,227,383,421,855,174)
('2020122915501112',640,214,982,194,535,260)
('2020122915501122',556,381,516,32,31,491)
('2020122915501132',376,294,413,115,782,1010)
('2020122915501142',406,294,555,956,832,598)
('2020122915501152',599,250,936,750,796,372)
('2020122915501162',538,375,994,588,697,214)
('2020122915501172',671,335,688,986,666,307)
('2020122915501183',680,304,984,835,363,926)
('2020122915501193',396,384,880,398,236,919)
('2020122915501203',610,349,60,592,375,1001)
('2020122915501213',511,383,610,211,988,462)
('2020122915501223',617,210,426,367,897,704)
('2020122915501233',601,306,831,1007,562,447)
('2020122915501243',440,396,676,357,365,519)
('2020122915501253',445,223,45,584,803,713)
('2020122915501263',336,381,514,6,707,835)
('2020122915501273',389,336,861,422,94,874)
('2020122915501283',470,397,367,821,861,116)
('2020122915501293',335,332,62,585,633,48)
('2020122915501303',485,394,878,510,264,921)
('2020122915501313',690,322,282,950,443,498)
('2020122915501323',447,209,285,965,368,709)
('2020122915501334',640,393,860,541,14,679)
('2020122915501344',565,214,538,740,574,262)
('2020122915501354',592,384,69,349,363,758)
('2020122915501364',366,261,998,986,629,506)
('2020122915501374',502,346,467,843,227,666)
('2020122915501384',318,277,543,7,75,447)
('2020122915501394',561,295,632,329,658,462)
('2020122915501404',340,356,760,306,696,315)
('2020122915501414',315,378,666,856,565,650)
('2020122915501424',418,389,811,463,471,509)
('2020122915501434',447,308,1009,183,990,137)
('2020122915501444',568,235,150,1004,292,317)
('2020122915501454',489,358,524,383,639,538)
('2020122915501464',625,324,468,401,650,562)
('2020122915501474',312,222,703,689,36,99)
('2020122915501484',660,253,864,532,914,244)
('2020122915501495',545,278,219,277,839,724)
('2020122915501505',307,239,571,775,440,240)
