date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915502028',525,381,805,828,959,94)
('2020122915502038',682,270,176,485,381,349)
('2020122915502048',530,343,851,650,12,917)
('2020122915502058',605,305,417,229,454,461)
('2020122915502068',540,247,826,359,556,310)
('2020122915502078',388,250,939,859,699,177)
('2020122915502088',474,312,1010,581,299,833)
('2020122915502098',579,324,398,253,464,293)
('2020122915502108',655,251,566,872,174,551)
('2020122915502118',372,234,298,271,450,294)
('2020122915502129',557,386,869,899,393,1017)
('2020122915502139',570,392,476,301,26,834)
('2020122915502149',479,346,165,535,808,192)
('2020122915502159',714,368,204,317,416,149)
('2020122915502169',609,389,635,323,981,1021)
('2020122915502179',469,285,601,390,136,589)
('2020122915502189',369,370,321,69,799,877)
('2020122915502199',529,257,435,872,811,168)
('2020122915502209',370,315,476,421,650,169)
('2020122915502219',419,254,54,225,357,898)
('2020122915502229',596,335,782,833,42,631)
('2020122915502239',500,270,704,754,917,592)
('2020122915502249',621,244,405,442,528,969)
('2020122915502259',384,394,722,377,174,839)
('2020122915502269',311,216,280,85,619,867)
('2020122915502279',560,285,418,319,329,984)
('2020122915502290',520,213,377,532,651,916)
('2020122915502300',384,383,50,13,343,452)
('2020122915502310',407,211,469,811,83,342)
('2020122915502320',329,338,118,886,727,291)
('2020122915502330',482,299,300,511,339,605)
('2020122915502340',690,259,168,688,446,545)
('2020122915502350',716,332,432,856,107,530)
('2020122915502360',719,336,266,531,63,613)
('2020122915502370',515,354,447,388,12,530)
('2020122915502380',398,220,342,735,504,1022)
('2020122915502390',578,361,130,950,30,983)
('2020122915502400',621,372,434,316,296,851)
('2020122915502410',367,248,700,747,207,537)
('2020122915502420',456,328,102,866,748,614)
('2020122915502430',470,320,246,482,101,495)
('2020122915502441',525,284,964,775,246,720)
('2020122915502451',326,244,509,854,62,133)
('2020122915502461',506,329,910,585,65,457)
('2020122915502471',409,379,773,230,49,702)
('2020122915502481',329,365,471,533,267,92)
('2020122915502491',496,269,146,912,329,767)
('2020122915502501',485,378,353,244,367,269)
('2020122915502511',319,307,317,119,403,323)
('2020122915502521',539,396,559,446,669,437)
('2020122915502531',399,285,876,243,77,351)
('2020122915502541',516,381,775,735,597,843)
('2020122915502551',722,261,188,238,637,906)
('2020122915502561',397,268,379,487,565,881)
('2020122915502571',585,275,591,324,329,969)
('2020122915502581',705,339,891,513,385,445)
('2020122915502591',633,309,349,985,93,902)
('2020122915502602',357,302,7,135,493,830)
('2020122915502612',700,282,31,319,1012,85)
('2020122915502622',635,383,540,731,927,418)
('2020122915502632',687,379,212,47,960,61)
('2020122915502642',611,270,105,919,666,427)
('2020122915502652',634,225,3,530,33,9)
('2020122915502662',315,281,991,428,701,432)
('2020122915502672',698,391,566,693,696,36)
('2020122915502682',720,231,530,377,805,83)
('2020122915502692',693,345,157,799,772,169)
('2020122915502702',491,340,457,703,91,404)
('2020122915502712',718,400,707,572,557,393)
('2020122915502722',578,230,1022,917,681,949)
('2020122915502732',602,363,314,786,800,851)
('2020122915502742',409,230,671,16,891,741)
('2020122915502752',336,328,26,1,193,258)
('2020122915502763',611,393,33,29,64,902)
('2020122915502773',476,226,24,236,790,557)
('2020122915502783',302,260,350,616,990,957)
('2020122915502793',604,206,126,612,821,234)
('2020122915502803',454,396,41,128,754,971)
('2020122915502813',656,281,364,653,493,86)
('2020122915502823',708,380,33,583,640,519)
('2020122915502833',533,326,103,109,878,74)
('2020122915502843',611,292,359,4,908,633)
('2020122915502853',401,398,205,580,561,218)
('2020122915502863',599,396,163,376,836,86)
('2020122915502873',529,252,1010,567,135,466)
('2020122915502883',365,316,969,76,230,529)
('2020122915502893',463,400,936,533,646,949)
('2020122915502903',544,275,696,889,101,742)
('2020122915502913',549,235,746,155,723,990)
('2020122915502924',337,212,583,741,614,777)
('2020122915502934',304,395,348,287,679,321)
('2020122915502944',391,303,610,352,873,86)
('2020122915502954',647,274,384,620,513,884)
('2020122915502964',684,349,495,870,547,828)
('2020122915502974',720,375,488,465,58,627)
('2020122915502984',678,371,157,257,255,156)
('2020122915502994',661,239,832,202,171,436)
('2020122915503004',343,211,841,878,278,948)
('2020122915503014',454,368,318,726,787,593)
('2020122915503024',452,294,486,596,919,723)
('2020122915503034',488,276,247,826,710,454)
('2020122915503044',673,225,794,673,388,845)
('2020122915503054',418,244,908,890,779,455)
('2020122915503064',708,331,962,785,939,365)
('2020122915503074',580,341,311,1001,801,706)
('2020122915503085',422,224,689,560,855,309)
('2020122915503095',557,280,777,418,98,692)
('2020122915503105',582,394,754,536,484,439)
('2020122915503115',714,330,1000,473,327,408)
('2020122915503125',336,298,923,532,931,338)
('2020122915503135',629,220,951,577,557,927)
('2020122915503145',680,368,411,521,306,861)
('2020122915503155',550,254,715,715,552,416)
('2020122915503165',522,373,548,825,154,920)
('2020122915503175',487,352,816,714,280,830)
('2020122915503185',494,396,99,178,298,508)
('2020122915503195',498,355,289,77,265,220)
('2020122915503205',636,385,172,895,606,651)
('2020122915503215',388,280,641,786,564,70)
('2020122915503225',392,321,891,923,948,132)
('2020122915503235',363,227,199,770,340,437)
('2020122915503246',367,369,727,217,286,910)
('2020122915503256',576,309,333,425,424,454)
('2020122915503266',617,277,356,893,509,255)
('2020122915503276',517,289,45,503,463,590)
('2020122915503286',434,327,98,487,661,212)
('2020122915503296',591,283,574,990,719,156)
('2020122915503306',486,284,934,935,268,683)
('2020122915503316',440,315,763,236,576,0)
('2020122915503326',709,242,837,237,172,719)
('2020122915503336',534,218,54,409,705,967)
('2020122915503346',626,303,833,603,218,623)
('2020122915503356',441,287,846,808,378,730)
('2020122915503366',692,358,979,678,964,271)
('2020122915503376',661,206,262,245,705,363)
('2020122915503386',643,205,699,354,109,745)
('2020122915503396',378,346,53,571,566,806)
('2020122915503407',649,213,142,783,391,122)
('2020122915503417',451,216,925,35,705,4)
('2020122915503427',349,264,1,613,908,35)
('2020122915503437',503,214,119,802,629,997)
('2020122915503447',372,212,328,587,886,447)
('2020122915503457',572,245,72,742,112,239)
('2020122915503467',406,265,397,664,605,182)
('2020122915503477',494,261,481,711,58,175)
('2020122915503487',487,271,888,326,585,883)
('2020122915503497',372,332,61,994,89,632)
('2020122915503507',377,333,431,748,640,825)
('2020122915503517',533,330,907,714,184,497)
('2020122915503527',675,372,478,961,476,985)
('2020122915503537',319,211,736,230,975,575)
('2020122915503547',682,337,181,411,797,903)
('2020122915503557',352,216,748,111,862,511)
('2020122915503568',590,329,580,12,450,785)
('2020122915503578',703,284,413,474,791,958)
('2020122915503588',538,340,920,993,514,937)
('2020122915503598',538,293,150,505,589,691)
('2020122915503608',522,331,252,211,770,78)
('2020122915503618',326,384,271,200,965,362)
('2020122915503628',455,360,57,138,832,199)
('2020122915503638',456,319,539,152,265,627)
('2020122915503648',455,364,508,313,835,563)
('2020122915503658',377,224,347,93,60,3)
('2020122915503668',615,376,404,113,30,732)
('2020122915503678',555,269,350,641,694,24)
('2020122915503688',525,370,97,36,452,16)
('2020122915503698',544,351,211,458,267,282)
('2020122915503708',498,377,753,584,878,953)
('2020122915503718',537,300,938,683,408,422)
('2020122915503729',453,393,828,846,12,655)
('2020122915503739',588,252,303,169,632,896)
('2020122915503749',597,250,269,384,690,851)
('2020122915503759',614,226,50,823,349,369)
('2020122915503769',579,387,681,299,511,861)
('2020122915503779',396,344,16,193,59,918)
('2020122915503789',406,344,356,417,946,580)
('2020122915503799',653,397,658,502,1014,95)
('2020122915503809',679,212,379,188,919,358)
('2020122915503819',414,338,1009,749,943,351)
('2020122915503829',580,348,361,361,630,867)
('2020122915503839',331,217,139,514,1,818)
('2020122915503849',576,371,915,226,725,348)
('2020122915503859',445,296,853,406,97,45)
('2020122915503869',549,284,920,59,704,794)
('2020122915503879',347,236,723,143,88,648)
('2020122915503890',540,372,26,215,216,668)
('2020122915503900',605,254,978,205,62,205)
('2020122915503910',388,345,466,703,1005,511)
('2020122915503920',405,383,661,665,772,113)
('2020122915503930',304,384,129,233,708,853)
('2020122915503940',559,283,859,678,64,746)
('2020122915503950',459,220,284,949,549,26)
('2020122915503960',573,261,7,297,777,139)
('2020122915503970',446,277,582,339,643,913)
('2020122915503980',705,246,993,146,4,978)
('2020122915503990',635,298,524,402,424,300)
('2020122915504000',565,337,1013,409,366,610)
('2020122915504010',451,347,152,78,521,1)
('2020122915504020',444,276,749,791,371,204)
('2020122915504030',579,340,213,767,101,1013)
('2020122915504040',390,388,838,506,742,664)
('2020122915504051',428,221,839,720,1024,464)
('2020122915504061',469,360,913,807,113,340)
('2020122915504071',572,389,551,455,1019,390)
('2020122915504081',408,336,567,11,655,711)
('2020122915504091',597,362,605,794,254,636)
('2020122915504101',377,391,647,118,269,781)
('2020122915504111',536,258,198,289,303,394)
('2020122915504121',470,334,948,960,518,565)
('2020122915504131',687,325,112,268,602,579)
('2020122915504141',646,239,394,426,974,780)
('2020122915504151',714,265,687,979,173,101)
('2020122915504161',597,251,969,375,1021,890)
('2020122915504171',304,306,869,710,1012,1018)
('2020122915504181',484,336,313,694,915,360)
('2020122915504191',610,285,586,489,372,149)
('2020122915504201',462,205,436,855,838,1)
('2020122915504212',447,375,655,580,940,866)
('2020122915504222',328,231,399,778,839,798)
('2020122915504232',350,218,621,254,88,23)
('2020122915504242',571,243,415,271,11,522)
('2020122915504252',677,324,434,227,313,702)
('2020122915504262',702,370,804,215,273,109)
('2020122915504272',431,215,941,190,975,554)
('2020122915504282',697,322,396,230,697,515)
('2020122915504292',422,287,1002,443,403,874)
('2020122915504302',341,346,131,635,372,1012)
('2020122915504312',306,235,417,576,561,690)
('2020122915504322',357,359,737,544,648,458)
('2020122915504332',616,357,849,819,418,797)
('2020122915504342',634,212,980,13,610,954)
('2020122915504352',592,225,1021,783,280,1015)
('2020122915504362',565,372,1009,647,969,291)
('2020122915504373',338,296,269,869,178,74)
('2020122915504383',568,251,756,79,455,91)
('2020122915504393',592,331,527,1019,702,341)
('2020122915504403',697,215,58,372,302,591)
('2020122915504413',716,398,555,357,871,329)
('2020122915504423',311,356,34,771,715,813)
('2020122915504433',638,353,359,365,487,838)
('2020122915504443',358,300,654,911,579,813)
('2020122915504453',478,228,225,961,631,671)
('2020122915504463',494,211,137,13,674,940)
('2020122915504473',705,280,982,928,315,302)
('2020122915504483',389,306,73,875,312,314)
('2020122915504493',483,321,157,873,99,898)
('2020122915504503',566,296,325,156,961,540)
('2020122915504513',417,212,256,436,870,892)
('2020122915504523',575,326,175,958,973,452)
