date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915480791',694,314,633,395,564,801)
('2020122915480801',378,243,291,444,723,503)
('2020122915480811',610,245,280,509,694,471)
('2020122915480821',395,376,649,127,788,396)
('2020122915480831',342,246,452,826,103,869)
('2020122915480841',558,375,879,513,88,844)
('2020122915480851',327,251,53,998,921,423)
('2020122915480861',332,339,321,765,784,666)
('2020122915480871',449,265,149,722,965,850)
('2020122915480881',720,247,535,1018,196,361)
('2020122915480891',447,220,384,148,222,26)
('2020122915480901',722,269,932,278,414,230)
('2020122915480912',343,349,26,402,806,742)
('2020122915480922',425,335,873,448,828,455)
('2020122915480932',432,268,877,998,395,684)
('2020122915480942',539,370,331,384,892,440)
('2020122915480952',487,294,597,750,927,1022)
('2020122915480962',442,330,558,541,581,717)
('2020122915480972',539,303,4,584,358,800)
('2020122915480982',681,248,170,145,42,155)
('2020122915480992',658,331,852,933,296,255)
('2020122915481002',627,386,302,662,72,945)
('2020122915481012',571,396,435,844,682,1013)
('2020122915481022',589,298,991,875,813,191)
('2020122915481032',305,250,344,693,1013,671)
('2020122915481042',427,311,769,501,782,811)
('2020122915481053',666,289,566,211,514,838)
('2020122915481063',371,296,959,338,993,1016)
('2020122915481073',551,340,488,368,633,601)
('2020122915481083',348,282,533,735,442,200)
('2020122915481093',666,227,790,675,682,895)
('2020122915481103',387,326,898,4,936,663)
('2020122915481113',397,292,825,951,179,842)
('2020122915481123',530,261,524,301,601,148)
('2020122915481133',391,212,425,576,59,857)
('2020122915481143',479,300,371,700,791,212)
('2020122915481153',381,313,280,573,942,692)
('2020122915481163',502,375,695,0,272,300)
('2020122915481173',685,209,79,41,995,717)
('2020122915481183',346,275,435,140,711,249)
('2020122915481193',462,321,417,913,405,707)
('2020122915481204',656,299,47,609,780,587)
('2020122915481214',379,234,727,112,761,609)
('2020122915481224',316,259,822,171,666,589)
('2020122915481234',511,292,1023,571,49,385)
('2020122915481244',404,271,644,713,302,636)
('2020122915481254',437,289,922,586,969,118)
('2020122915481264',627,383,968,130,884,416)
('2020122915481274',562,273,252,889,326,604)
('2020122915481284',624,246,293,315,929,903)
('2020122915481294',518,290,738,319,24,406)
('2020122915481304',577,331,991,690,453,733)
('2020122915481314',353,283,837,642,782,352)
('2020122915481324',706,283,200,889,989,645)
('2020122915481334',345,331,988,444,364,93)
('2020122915481344',470,227,578,844,207,971)
('2020122915481355',458,282,140,312,974,498)
('2020122915481365',686,343,297,475,416,244)
('2020122915481375',519,288,388,717,919,268)
('2020122915481385',401,361,211,51,288,939)
('2020122915481395',559,361,596,658,827,114)
('2020122915481405',599,388,981,845,805,843)
('2020122915481415',553,243,391,162,838,64)
('2020122915481425',580,234,175,754,860,146)
