date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915485432',351,254,851,288,977,513)
('2020122915485442',393,291,20,405,113,782)
('2020122915485452',371,395,833,988,224,444)
('2020122915485462',635,290,384,900,267,725)
('2020122915485472',377,353,1019,812,235,155)
('2020122915485482',491,241,771,658,680,970)
('2020122915485492',326,286,122,113,619,651)
('2020122915485503',649,254,919,717,31,552)
('2020122915485513',555,378,971,697,260,555)
('2020122915485523',544,254,737,994,594,73)
('2020122915485533',564,288,419,271,649,608)
('2020122915485543',346,243,289,451,906,10)
('2020122915485553',538,312,110,26,181,909)
('2020122915485563',331,312,631,439,861,290)
('2020122915485573',657,222,397,876,671,798)
('2020122915485583',687,240,929,494,40,612)
('2020122915485593',608,379,285,412,167,728)
('2020122915485603',435,363,581,269,308,719)
('2020122915485613',565,333,315,135,158,936)
('2020122915485623',610,344,748,873,859,563)
('2020122915485633',530,343,677,150,1018,111)
('2020122915485643',429,364,76,357,541,874)
('2020122915485654',537,276,343,82,317,284)
('2020122915485664',534,315,949,736,663,386)
('2020122915485674',569,309,743,117,109,428)
('2020122915485684',466,250,771,54,809,774)
('2020122915485694',549,363,53,371,1001,790)
('2020122915485704',620,224,606,784,159,505)
('2020122915485714',348,238,303,767,598,420)
('2020122915485724',628,294,939,976,51,523)
('2020122915485734',319,347,414,817,822,127)
('2020122915485744',620,225,200,978,198,921)
('2020122915485754',310,228,12,486,702,840)
('2020122915485764',625,273,632,658,511,701)
('2020122915485774',580,382,9,771,189,666)
('2020122915485784',382,215,84,711,376,427)
('2020122915485795',358,332,726,306,710,577)
('2020122915485805',386,319,122,290,835,136)
('2020122915485815',591,301,159,998,893,6)
('2020122915485825',675,318,529,551,603,384)
('2020122915485835',308,317,539,901,1021,0)
('2020122915485845',682,327,597,617,113,684)
('2020122915485855',482,392,317,716,627,229)
('2020122915485865',350,396,762,70,336,234)
('2020122915485875',486,272,694,54,101,9)
('2020122915485885',404,396,981,525,611,616)
('2020122915485895',562,388,483,277,740,993)
('2020122915485905',547,300,963,793,755,588)
('2020122915485915',372,364,1007,28,567,52)
('2020122915485925',486,289,652,767,245,336)
('2020122915485935',468,357,301,58,566,530)
('2020122915485946',454,398,1000,450,183,834)
('2020122915485956',493,246,893,956,553,937)
('2020122915485966',715,382,981,464,956,0)
('2020122915485976',626,387,737,941,129,559)
('2020122915485986',339,285,63,691,759,625)
('2020122915485996',450,352,797,623,220,567)
('2020122915490006',702,344,525,812,738,895)
('2020122915490016',621,245,296,869,682,74)
('2020122915490026',467,309,941,962,119,536)
('2020122915490036',333,395,951,31,516,173)
('2020122915490046',376,400,901,8,84,576)
('2020122915490056',473,373,261,507,53,983)
('2020122915490066',323,334,278,552,38,144)
('2020122915490076',719,394,984,715,145,780)
('2020122915490086',633,229,892,426,598,486)
('2020122915490097',402,299,50,792,949,345)
('2020122915490107',315,225,360,41,655,486)
('2020122915490117',545,221,454,52,235,810)
('2020122915490127',409,242,207,937,885,438)
('2020122915490137',672,245,302,181,387,930)
('2020122915490147',385,255,715,610,668,52)
('2020122915490157',575,336,1003,844,702,685)
('2020122915490167',704,206,76,346,176,336)
('2020122915490177',338,365,456,526,954,821)
('2020122915490187',541,316,594,319,254,262)
('2020122915490197',659,316,545,799,77,563)
('2020122915490207',618,350,975,787,554,104)
('2020122915490217',373,304,194,827,856,191)
('2020122915490227',311,301,908,214,465,165)
('2020122915490237',643,338,729,317,738,500)
('2020122915490248',544,355,914,499,151,756)
('2020122915490258',302,375,87,348,91,662)
('2020122915490268',351,290,910,910,507,169)
('2020122915490278',529,310,8,429,972,718)
('2020122915490288',451,275,574,653,467,605)
('2020122915490298',308,298,39,761,1022,195)
('2020122915490308',691,205,100,480,6,272)
('2020122915490318',306,212,647,174,880,50)
('2020122915490328',605,261,732,502,9,638)
('2020122915490338',399,289,261,84,621,950)
('2020122915490348',364,237,767,312,148,748)
('2020122915490358',614,347,726,670,657,791)
('2020122915490368',684,359,500,361,280,437)
('2020122915490378',410,381,860,856,534,145)
('2020122915490388',691,303,349,314,725,220)
('2020122915490399',460,338,491,344,285,268)
('2020122915490409',665,232,525,670,331,493)
('2020122915490419',329,245,279,517,385,787)
('2020122915490429',356,390,525,610,327,1003)
('2020122915490439',538,277,333,622,626,657)
('2020122915490449',686,313,218,36,1022,957)
('2020122915490459',432,263,7,160,599,551)
('2020122915490469',612,230,853,232,84,308)
('2020122915490479',618,309,647,519,348,252)
('2020122915490489',628,284,867,930,171,215)
('2020122915490499',438,333,984,794,188,290)
('2020122915490509',365,282,215,75,700,382)
('2020122915490519',517,394,689,806,1022,685)
('2020122915490529',387,267,821,144,62,590)
('2020122915490539',721,217,240,594,976,399)
('2020122915490550',530,314,628,802,625,102)
('2020122915490560',579,326,628,987,66,42)
('2020122915490570',420,263,175,1016,417,100)
('2020122915490580',504,385,93,599,738,419)
('2020122915490590',412,330,822,45,214,582)
('2020122915490600',520,390,157,14,679,909)
('2020122915490610',645,373,333,1015,879,57)
('2020122915490620',636,397,487,302,767,260)
('2020122915490630',413,234,135,914,299,390)
('2020122915490640',414,386,510,78,397,149)
('2020122915490650',700,300,971,289,807,672)
('2020122915490660',536,263,188,770,611,259)
('2020122915490670',350,274,515,256,570,54)
('2020122915490680',433,387,1023,931,438,205)
('2020122915490690',573,266,961,448,232,850)
('2020122915490701',369,358,346,422,375,349)
('2020122915490711',707,234,724,127,474,803)
('2020122915490721',418,371,945,879,259,352)
('2020122915490731',539,322,179,969,756,305)
('2020122915490741',491,252,685,366,97,825)
('2020122915490751',545,347,92,802,362,639)
('2020122915490761',593,273,814,1010,395,229)
('2020122915490771',396,366,801,257,11,686)
('2020122915490781',665,366,198,999,528,493)
('2020122915490791',488,280,451,1013,275,174)
('2020122915490801',407,355,810,449,647,684)
('2020122915490811',670,391,456,700,373,880)
('2020122915490821',590,251,726,650,690,637)
('2020122915490831',521,207,903,881,607,987)
('2020122915490841',395,233,100,565,150,503)
('2020122915490852',357,270,94,676,866,840)
('2020122915490862',334,250,860,458,823,996)
('2020122915490872',606,340,944,390,353,829)
('2020122915490882',555,366,960,666,28,987)
('2020122915490892',371,291,960,263,252,802)
('2020122915490902',597,380,861,725,408,206)
('2020122915490912',445,259,544,93,393,461)
('2020122915490922',394,212,723,401,500,620)
('2020122915490932',325,246,362,148,116,82)
('2020122915490942',366,379,47,537,788,939)
('2020122915490952',640,257,382,394,199,925)
('2020122915490962',722,238,313,614,990,272)
('2020122915490972',516,375,903,586,347,887)
('2020122915490982',321,219,597,633,702,403)
('2020122915490992',386,341,222,302,214,230)
('2020122915491003',494,379,544,22,219,728)
('2020122915491013',389,251,36,458,279,262)
('2020122915491023',394,368,1013,1002,763,2)
('2020122915491033',675,209,932,476,140,763)
('2020122915491043',688,209,54,910,668,283)
('2020122915491053',667,276,794,744,38,681)
('2020122915491063',454,266,121,321,429,977)
('2020122915491073',437,399,231,99,352,29)
('2020122915491083',312,227,429,702,308,31)
('2020122915491093',461,376,437,931,606,688)
('2020122915491103',591,279,702,27,580,241)
('2020122915491113',654,400,175,1013,277,150)
('2020122915491123',688,337,42,823,100,926)
('2020122915491133',591,228,454,555,922,726)
('2020122915491143',622,398,321,736,586,586)
('2020122915491154',584,231,172,583,133,916)
('2020122915491164',615,259,15,291,148,331)
('2020122915491174',643,313,322,586,965,974)
('2020122915491184',355,247,447,856,580,726)
('2020122915491194',478,263,500,677,41,397)
('2020122915491204',484,356,889,730,686,153)
('2020122915491214',569,340,235,140,861,415)
('2020122915491224',364,320,224,310,845,511)
('2020122915491234',543,336,662,158,78,814)
('2020122915491244',334,360,349,1012,70,294)
('2020122915491254',458,316,387,479,48,358)
('2020122915491264',542,258,485,33,839,438)
('2020122915491274',697,276,451,871,894,719)
('2020122915491284',553,354,537,985,557,525)
('2020122915491294',675,392,837,271,859,643)
('2020122915491305',652,296,26,994,780,426)
('2020122915491315',574,234,959,396,104,760)
('2020122915491325',475,316,538,455,508,605)
('2020122915491335',584,394,150,986,860,479)
('2020122915491345',387,341,999,354,667,468)
('2020122915491355',370,385,722,171,1022,582)
('2020122915491365',441,263,918,500,843,132)
('2020122915491375',664,271,240,514,867,445)
('2020122915491385',338,389,788,193,115,598)
('2020122915491395',388,257,514,419,502,987)
('2020122915491405',468,208,677,711,934,172)
('2020122915491415',656,300,631,100,671,371)
('2020122915491425',523,269,311,812,41,856)
('2020122915491435',454,318,384,621,736,882)
('2020122915491445',522,263,932,204,569,34)
('2020122915491456',646,348,86,268,722,592)
('2020122915491466',580,385,1,738,976,663)
