date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915491949',638,269,660,958,870,989)
('2020122915491959',515,294,657,399,266,856)
('2020122915491969',338,275,713,932,807,394)
('2020122915491979',523,377,316,869,279,376)
('2020122915491989',406,348,10,590,655,251)
('2020122915491999',696,308,158,273,273,598)
('2020122915492009',455,278,407,905,583,252)
('2020122915492019',582,214,629,654,364,776)
('2020122915492029',322,301,602,358,69,962)
('2020122915492039',536,294,496,613,953,595)
('2020122915492049',654,348,146,268,914,306)
('2020122915492060',399,293,799,634,583,630)
('2020122915492070',603,386,276,324,409,697)
('2020122915492080',336,368,991,842,79,585)
('2020122915492090',569,285,759,389,377,242)
('2020122915492100',661,361,78,973,550,896)
('2020122915492110',587,377,421,540,1019,456)
('2020122915492120',657,252,485,698,10,98)
('2020122915492130',488,322,856,413,715,409)
('2020122915492140',551,308,176,329,841,663)
('2020122915492150',440,311,73,553,961,403)
('2020122915492160',678,317,226,905,701,47)
('2020122915492170',370,305,745,319,396,52)
('2020122915492180',613,336,950,162,170,771)
('2020122915492190',304,388,752,649,173,449)
('2020122915492200',515,305,391,861,951,762)
('2020122915492211',569,365,378,50,862,609)
('2020122915492221',596,324,606,680,368,752)
('2020122915492231',704,338,60,51,218,825)
('2020122915492241',401,246,408,301,613,304)
('2020122915492251',369,360,714,1017,270,82)
('2020122915492261',626,323,14,275,649,228)
('2020122915492271',401,359,421,637,642,945)
('2020122915492281',615,329,133,955,393,866)
('2020122915492291',653,319,550,617,560,245)
('2020122915492301',649,319,406,251,180,122)
('2020122915492311',437,281,994,951,619,388)
('2020122915492321',518,259,868,49,54,449)
('2020122915492331',509,348,471,156,749,878)
('2020122915492341',452,281,559,485,402,459)
('2020122915492351',377,268,973,809,779,977)
('2020122915492361',492,363,972,927,287,554)
('2020122915492372',532,352,592,322,486,918)
('2020122915492382',457,274,406,31,546,759)
('2020122915492392',674,398,484,210,865,846)
('2020122915492402',655,330,47,1014,173,492)
('2020122915492412',387,322,510,95,392,541)
('2020122915492422',415,335,213,413,648,294)
('2020122915492432',670,314,776,785,21,657)
('2020122915492442',614,271,770,82,827,621)
('2020122915492452',632,349,413,560,508,430)
('2020122915492462',480,243,897,1002,7,204)
('2020122915492472',448,301,781,318,265,861)
('2020122915492482',585,209,874,153,315,490)
('2020122915492492',605,211,92,270,454,707)
('2020122915492502',373,396,315,11,550,77)
('2020122915492512',670,222,810,227,133,474)
('2020122915492523',463,249,314,583,546,202)
('2020122915492533',428,326,295,414,853,914)
('2020122915492543',679,368,117,1005,525,957)
('2020122915492553',395,333,623,83,872,360)
('2020122915492563',325,287,189,931,350,591)
('2020122915492573',544,310,54,579,823,411)
('2020122915492583',455,269,981,283,267,963)
('2020122915492593',506,259,941,406,889,593)
('2020122915492603',381,380,48,867,416,377)
('2020122915492613',699,311,350,982,155,908)
('2020122915492623',330,358,586,732,138,301)
('2020122915492633',504,367,660,845,646,159)
('2020122915492643',581,267,606,930,240,131)
('2020122915492653',494,264,316,860,933,140)
('2020122915492663',720,234,573,388,202,63)
('2020122915492674',609,297,795,977,325,359)
('2020122915492684',544,210,871,707,648,60)
('2020122915492694',716,350,403,84,974,309)
('2020122915492704',597,301,738,148,472,1007)
('2020122915492714',604,396,252,850,208,477)
('2020122915492724',708,317,438,479,918,1010)
('2020122915492734',478,294,158,323,224,104)
('2020122915492744',380,258,801,948,501,6)
('2020122915492754',680,338,560,48,549,560)
('2020122915492764',619,319,433,148,133,67)
('2020122915492774',695,274,616,107,375,243)
('2020122915492784',322,377,410,257,61,625)
('2020122915492794',660,316,658,439,816,191)
('2020122915492804',415,346,926,284,456,799)
('2020122915492814',691,368,185,335,688,567)
('2020122915492825',528,386,234,755,506,174)
('2020122915492835',537,247,419,387,923,932)
('2020122915492845',695,255,613,725,493,577)
('2020122915492855',681,359,631,914,74,315)
('2020122915492865',378,265,318,44,224,989)
('2020122915492875',676,247,929,133,144,907)
('2020122915492885',553,308,612,438,772,652)
('2020122915492895',364,225,226,464,383,533)
('2020122915492905',565,293,346,755,455,122)
('2020122915492915',479,373,621,941,325,3)
('2020122915492925',620,234,686,658,68,824)
('2020122915492935',567,221,826,377,976,317)
('2020122915492945',392,290,265,126,937,237)
('2020122915492955',444,338,421,324,360,218)
('2020122915492966',525,345,875,174,49,242)
('2020122915492976',627,316,822,567,417,27)
('2020122915492986',648,320,610,100,1021,894)
('2020122915492996',309,386,449,646,930,263)
('2020122915493006',402,299,317,420,601,28)
('2020122915493016',391,367,282,163,69,432)
('2020122915493026',520,293,389,324,843,88)
('2020122915493036',681,253,612,677,378,81)
('2020122915493046',470,232,464,603,411,982)
('2020122915493056',528,367,313,976,1010,151)
('2020122915493066',371,288,158,26,107,995)
('2020122915493076',611,241,252,982,372,915)
('2020122915493086',667,292,92,897,432,117)
('2020122915493096',666,303,619,907,686,152)
('2020122915493107',454,355,503,997,570,212)
('2020122915493117',349,398,67,439,244,116)
('2020122915493127',352,345,93,300,229,684)
('2020122915493137',664,391,537,906,579,901)
('2020122915493147',599,207,606,322,608,944)
('2020122915493157',697,286,266,964,443,802)
('2020122915493167',451,286,719,970,607,654)
('2020122915493177',657,281,914,392,32,330)
('2020122915493187',362,371,158,179,744,212)
('2020122915493197',362,394,465,259,556,226)
('2020122915493207',434,342,800,405,947,63)
('2020122915493217',394,270,70,544,395,442)
('2020122915493227',467,374,795,23,248,659)
('2020122915493237',608,377,221,296,102,365)
('2020122915493247',650,213,919,611,0,533)
('2020122915493258',438,272,775,608,104,523)
('2020122915493268',714,364,956,735,598,539)
('2020122915493278',628,384,1014,559,596,721)
('2020122915493288',489,254,245,167,340,2)
('2020122915493298',599,264,907,57,658,798)
('2020122915493308',697,305,80,712,375,775)
('2020122915493318',386,311,896,907,387,1005)
('2020122915493328',570,377,279,30,783,751)
('2020122915493338',331,363,422,536,150,69)
('2020122915493348',628,232,193,258,239,1022)
('2020122915493358',394,264,913,962,539,169)
('2020122915493368',391,356,132,222,512,115)
('2020122915493378',545,241,900,526,21,639)
('2020122915493388',549,393,191,952,484,904)
('2020122915493398',432,315,301,248,879,106)
('2020122915493409',495,354,302,457,176,688)
('2020122915493419',425,342,350,867,923,730)
('2020122915493429',455,306,698,555,702,69)
('2020122915493439',501,356,212,829,42,952)
('2020122915493449',601,351,682,360,222,210)
('2020122915493459',501,399,136,208,194,444)
('2020122915493469',411,395,420,941,548,540)
('2020122915493479',590,360,102,955,753,164)
('2020122915493489',307,264,262,238,620,1009)
('2020122915493499',587,387,81,593,210,572)
('2020122915493509',627,317,94,819,673,52)
('2020122915493519',610,310,42,809,477,636)
('2020122915493529',697,353,313,76,469,356)
('2020122915493539',669,344,730,612,619,789)
('2020122915493549',559,311,32,244,207,865)
('2020122915493560',360,294,262,924,124,882)
('2020122915493570',635,331,963,701,834,573)
('2020122915493580',698,270,898,967,1019,165)
('2020122915493590',525,291,949,228,323,73)
('2020122915493600',423,223,526,727,717,201)
('2020122915493610',499,369,476,564,475,827)
('2020122915493620',484,238,293,896,326,320)
('2020122915493630',576,356,606,108,109,706)
('2020122915493640',720,328,347,164,170,573)
('2020122915493650',361,368,864,321,29,300)
('2020122915493660',384,264,737,32,296,937)
('2020122915493670',707,311,989,242,17,63)
('2020122915493680',683,311,430,1013,714,51)
('2020122915493690',450,366,565,1006,192,46)
('2020122915493700',504,305,1001,475,373,955)
('2020122915493710',313,347,790,549,4,550)
('2020122915493721',595,224,904,634,384,140)
('2020122915493731',632,219,377,704,548,74)
('2020122915493741',459,309,772,773,676,649)
('2020122915493751',428,207,591,743,704,842)
('2020122915493761',588,386,350,654,852,648)
('2020122915493771',597,331,481,145,697,0)
('2020122915493781',408,325,130,752,0,913)
('2020122915493791',451,243,462,544,1000,619)
('2020122915493801',508,222,308,854,588,285)
('2020122915493811',337,263,423,584,200,644)
('2020122915493821',505,298,545,68,478,596)
('2020122915493831',338,356,712,853,438,25)
('2020122915493841',484,300,853,416,712,491)
('2020122915493851',711,391,849,882,86,584)
('2020122915493861',322,292,613,482,1000,376)
('2020122915493871',563,240,1024,530,85,870)
('2020122915493882',395,243,316,650,340,916)
('2020122915493892',692,286,933,179,459,365)
('2020122915493902',366,304,822,494,523,789)
('2020122915493912',639,295,846,650,70,370)
('2020122915493922',653,384,449,908,310,808)
('2020122915493932',626,215,88,316,493,870)
('2020122915493942',712,305,151,912,687,385)
('2020122915493952',319,328,259,938,63,642)
('2020122915493962',610,254,17,403,36,403)
('2020122915493972',371,270,649,720,858,279)
('2020122915493982',649,318,273,356,687,370)
('2020122915493992',575,229,623,570,830,778)
('2020122915494002',660,338,138,4,339,413)
('2020122915494012',329,338,963,339,479,892)
('2020122915494022',521,289,754,686,429,734)
('2020122915494033',457,348,245,846,772,871)
('2020122915494043',581,295,648,719,906,784)
('2020122915494053',310,360,169,583,578,28)
('2020122915494063',684,223,128,332,276,99)
('2020122915494073',304,317,946,567,383,1024)
('2020122915494083',579,213,282,409,385,68)
('2020122915494093',350,400,509,4,750,650)
('2020122915494103',607,255,33,584,625,284)
('2020122915494113',653,230,85,178,723,715)
('2020122915494123',563,284,1001,565,165,438)
('2020122915494133',640,240,640,972,952,78)
('2020122915494143',652,385,671,466,325,524)
('2020122915494153',678,375,813,617,636,462)
('2020122915494163',360,266,367,33,346,123)
('2020122915494173',474,315,1003,942,34,119)
('2020122915494184',486,383,845,844,520,571)
('2020122915494194',349,250,201,465,445,844)
('2020122915494204',603,333,430,886,1016,437)
('2020122915494214',681,252,893,414,682,385)
('2020122915494224',610,249,23,122,402,535)
('2020122915494234',488,279,665,908,712,803)
('2020122915494244',316,216,924,552,404,253)
('2020122915494254',704,276,688,641,765,234)
('2020122915494264',341,298,874,506,183,520)
('2020122915494274',632,396,970,1024,418,2)
('2020122915494284',581,315,167,740,956,300)
('2020122915494294',316,297,247,292,98,976)
('2020122915494304',461,244,897,64,573,3)
('2020122915494314',680,255,353,332,496,853)
('2020122915494324',665,231,451,310,920,398)
('2020122915494334',469,349,392,621,562,693)
('2020122915494345',412,323,123,849,784,131)
('2020122915494355',344,251,57,977,387,781)
('2020122915494365',392,354,418,849,588,823)
('2020122915494375',330,330,655,949,147,916)
('2020122915494385',407,306,321,719,447,925)
('2020122915494395',499,314,244,177,448,287)
('2020122915494405',513,390,419,607,865,730)
('2020122915494415',508,324,745,169,969,826)
('2020122915494425',302,368,742,323,736,835)
('2020122915494435',342,311,961,368,630,726)
('2020122915494445',702,256,296,273,803,855)
('2020122915494455',609,244,834,724,910,935)
('2020122915494465',550,377,995,165,369,540)
('2020122915494475',374,276,618,8,747,540)
('2020122915494485',512,335,674,53,829,380)
